['host', 4]
['required', 4]
['present', 4]
['revealed', 4]
['die', 4]
['festival', 4]
['boy', 4]
['behind', 4]
['travelled', 4]
['questions', 4]
['astonished', 4]
['treated', 4]
['didn', 4]
['repentance', 4]
['prepare', 4]
['sandals', 4]
['gather', 4]
['proclaimed', 4]
['pleased', 4]
['thought', 4]
['serve', 4]
['read', 4]
['hearing', 4]
['surely', 4]
['capernaum', 4]
['region', 4]
['sidon', 4]
['cleansed', 4]
['built', 4]
['order', 4]
['boats', 4]
['nets', 4]
['catch', 4]
['willing', 4]
['lay', 4]
['speaks', 4]
['praise', 4]
['fast', 4]
['better', 4]
['morning', 4]
['diseases', 4]
['cured', 4]
['healing', 4]
['weep', 4]
['ancestors', 4]
['already', 4]
['received', 4]
['lend', 4]
['wicked', 4]
['centurion', 4]
['jews', 4]
['nation', 4]
['cry', 4]
['raised', 4]
['least', 4]
['rejected', 4]
['learned', 4]
['hundred', 4]
['stopped', 4]
['head', 4]
['guests', 4]
['sow', 4]
['birds', 4]
['soil', 4]
['instead', 4]
['known', 4]
['open', 4]
['met', 4]
['beg', 4]
['ran', 4]
['jairus', 4]
['bag', 4]
['thousand', 4]
['broke', 4]
['cross', 4]
['lose', 4]
['lightning', 4]
['fulfilment', 4]
['next', 4]
['greatest', 4]
['driving', 4]
['few', 4]
['rejects', 4]
['however', 4]
['eternal', 4]
['robbers', 4]
['care', 4]
['martha', 4]
['indeed', 4]
['teach', 4]
['mine', 4]
['gifts', 4]
['finger', 4]
['jonah', 4]
['darkness', 4]
['rulers', 4]
['ll', 4]
['demanded', 4]
['last', 4]
['answer', 4]
['feast', 4]
['honour', 4]
['sisters', 4]
['won', 4]
['sheep', 4]
['property', 4]
['wealth', 4]
['longer', 4]
['celebrate', 4]
['alive', 4]
['remember', 4]
['distance', 4]
['gentiles', 4]
['mina', 4]
['mount', 4]
['olives', 4]
['colt', 4]
['tenants', 4]
['happen', 4]
['release', 4]
['crucified', 4]
['belonged', 3]
['division', 3]
['childless', 3]
['conceive', 3]
['incense', 3]
['prayer', 3]
['turn', 3]
['silent', 3]
['true', 3]
['remained', 3]
['unable', 3]
['service', 3]
['shown', 3]
['virgin', 3]
['highly', 3]
['troubled', 3]
['greeting', 3]
['jacob', 3]
['reached', 3]
['mouth', 3]
['awe', 3]
['governor', 3]
['wrapped', 3]
['manger', 3]
['guest', 3]
['highest', 3]
['thing', 3]
['concerning', 3]
['offer', 3]
['young', 3]
['simeon', 3]
['thoughts', 3]
['sword', 3]
['preaching', 3]
['baptism', 3]
['calling', 3]
['straight', 3]
['mountain', 3]
['become', 3]
['produce', 3]
['begin', 3]
['stones', 3]
['none', 3]
['accuse', 3]
