['сыну', 3]
['пустыне', 3]
['приготовьте', 3]
['всякая', 3]
['креститься', 3]
['доброго', 3]
['мытари', 3]
['обуви', 3]
['другое', 3]
['худого', 3]
['крестившись', 3]
['начиная', 3]
['ел', 3]
['хлебом', 3]
['одним', 3]
['показал', 3]
['даю', 3]
['отсюда', 3]
['твоею', 3]
['субботний', 3]
['синагогу', 3]
['книгу', 3]
['нищим', 3]
['сердцем', 3]
['проповедывать', 3]
['господне', 3]
['сел', 3]
['синагоге', 3]
['уст', 3]
['никакой', 3]
['сделался', 3]
['капернаум', 3]
['властью', 3]
['выйди', 3]
['ужас', 3]
['рассуждали', 3]
['значит', 3]
['выходят', 3]
['местам', 3]
['симона', 3]
['сказывать', 3]
['знают', 3]
['городам', 3]
['лодку', 3]
['всю', 3]
['объял', 3]
['ими', 3]
['хочешь', 3]
['можешь', 3]
['свидетельство', 3]
['слушать', 3]
['постели', 3]
['сквозь', 3]
['оставив', 3]
['имеют', 3]
['грешников', 3]
['почему', 3]
['молитвы', 3]
['можете', 3]
['иначе', 3]
['разве', 3]
['давид', 3]
['имеющему', 3]
['спрошу', 3]
['погубить', 3]
['помолиться', 3]
['иуду', 3]
['поступали', 3]
['отцы', 3]
['напротив', 3]
['благодарность', 3]
['любят', 3]
['получить', 3]
['обратно', 3]
['давайте', 3]
['будьте', 3]
['сучок', 3]
['глазе', 3]
['брату', 3]
['сокровища', 3]
['слушающий', 3]
['подобен', 3]
['могла', 3]
['слуга', 3]
['просить', 3]
['любит', 3]
['другому', 3]
['удивился', 3]
['шло', 3]
['сжалился', 3]
['спросить', 3]
['смотреть', 3]
['волю', 3]
['божию', 3]
['подобны', 3]
['плакали', 3]
['премудрость', 3]
['возлег', 3]
['узнав', 3]
['принесла', 3]
['став', 3]
['женщине', 3]
['воды', 3]
['селениям', 3]
['семя', 3]
['птицы', 3]
['возгласил', 3]
['слышит', 3]
['сия', 3]
['суть', 3]
['слушают', 3]
['братья', 3]
['желая', 3]
['своими', 3]
['ту', 3]
['сделалась', 3]
['повинуются', 3]
['долгое', 3]
['стадо', 3]
['свиней', 3]
['позволил', 3]
['принял', 3]
['края', 3]
['плачьте', 3]
['велел', 3]
['происшедшем', 3]
['сумы', 3]
['оставайтесь', 3]
['оттуда', 3]
['увидеть', 3]
['дайте', 3]
['преломил', 3]
['приидет', 3]
['славе', 3]
['ангелов', 3]
['вид', 3]
['облако', 3]
['род', 3]
['сюда', 3]
['бить', 3]
['примет', 3]
['принимает', 3]
['приняли', 3]
['имел', 3]
['скажем', 3]
['знаете', 3]
['души', 3]
['пойду', 3]
['куда', 3]
['моими', 3]
['господина', 3]
['приблизилось', 3]
['знайте', 3]
['силы', 3]
['земли', 3]
['подошел', 3]
['возвращусь', 3]
['многом', 3]
['могу', 3]
['ищите', 3]
['попросит', 3]
['будучи', 3]
['давать', 3]
['веельзевула', 3]
['последнее', 3]
['светло', 3]
['пошлю', 3]
['апостолов', 3]
['берегитесь', 3]
['узнали', 3]
['малых', 3]
['птиц', 3]
['ангелами', 3]
['судить', 3]
['моей', 3]
['завтра', 3]
['сокровище', 3]
['хозяин', 3]
['судья', 3]
['восемнадцать', 3]
['смоковницу', 3]
['которую', 3]
['подобно', 3]
['пили', 3]
['впрочем', 3]
['упадет', 3]
['званых', 3]
['делаешь', 3]
['могут', 3]
['воскресение', 3]
['прошу', 3]
['учеником', 3]
['идя', 3]
['следующую', 3]
['сто', 3]
['радости', 3]
['поля', 3]
['приведите', 3]
['откормленного', 3]
['теленка', 3]
['никогда', 3]
['друзьями', 3]
['всегда', 3]
['богат', 3]
['малом', 3]
['прейдут', 3]
['авраам', 3]
['пусть', 3]
['море', 3]
['помилуй', 3]
['скажут', 3]
['замуж', 3]
['взять', 3]
['погубит', 3]
['возьмется', 3]
['оставится', 3]
['мытарь', 3]
['будь', 3]
['знаешь', 3]
['написанное', 3]
['закхей', 3]
['взглянув', 3]
['мина', 3]
['привели', 3]
['камня', 3]
['предать', 3]
['бездетным', 3]
['какое', 3]
['близко', 3]
['чашу', 3]
['служащий', 3]
['петух', 3]
['пилату', 3]
['иудейский', 3]
['злодеев', 3]
['гробу', 3]
['гроба', 3]
['событиях', 2]
['начала', 2]
['царя', 2]
['иудейского', 2]
['священник', 2]
['чреды', 2]
['праведны', 2]
['священников', 2]
['каждения', 2]
['правую', 2]
['напал', 2]
['наречешь', 2]
['господом', 2]
['исполнится', 2]
['чрева', 2]
['израилевых', 2]
['силе', 2]
['отцов', 2]
['праведников', 2]
['представить', 2]
['ангелу', 2]
['гавриил', 2]
['молчать', 2]
['иметь', 2]
['тыне', 2]
['медлит', 2]
['видел', 2]
['знаками', 2]
['зачала', 2]
['призрел', 2]
['шестой', 2]
['месяц', 2]
['галилейский', 2]
['деве', 2]
['давидова', 2]
['благословенна', 2]
['приветствие', 2]
['благодать', 2]
['наречется', 2]
['давида', 2]
['называемая', 2]
['старости', 2]
['останется', 2]
['марии', 2]
['взыграл', 2]
['пришла', 2]
['сказанное', 2]
['возрадовался', 2]
['роды', 2]
['исполнил', 2]
['благ', 2]
['трех', 2]
['родить', 2]
['родила', 2]
['обрезать', 2]
['имени', 2]
['назвать', 2]
['иоанном', 2]
['написал', 2]
['язык', 2]
['благословляя', 2]
['обо', 2]
['положили', 2]
['избавление', 2]
['возвестил', 2]
['устами', 2]
['святых', 2]
['спасет', 2]
['завет', 2]
['нашему', 2]
['свыше', 2]
['возрастал', 2]
['укреплялся', 2]
['явления', 2]
['кесаря', 2]
['перепись', 2]
['вифлеем', 2]
['наступило', 2]
['предстал', 2]
['великим', 2]
['людям', 2]
['лежащего', 2]
['яслях', 2]
['явилось', 2]
['ангелом', 2]
['вышних', 2]
['пойдем', 2]
['сохраняла', 2]
['сказано', 2]
['исполнились', 2]
['закону', 2]
['принести', 2]
['жертву', 2]
['птенцов', 2]
['симеон', 2]
['святым', 2]
['увидит', 2]
['христа', 2]
['народов', 2]
['язычников', 2]
['самой', 2]
['оружие', 2]
['мужем', 2]
['галилею', 2]
['премудрости', 2]
['пасхи', 2]
['праздника', 2]
['пройдя', 2]
['стали', 2]
['родственниками', 2]
['ища', 2]
['чадо', 2]
['знали', 2]
['любви', 2]
['области', 2]
['окрестной', 2]
['проповедуя', 2]
['крещение', 2]
['покаяния', 2]
['книге', 2]
['исаии', 2]
['дерево', 2]
['пища', 2]
['воины', 2]
['сердцах', 2]
['иоанне', 2]
['сильнейший', 2]
['огнем', 2]
['пшеницу', 2]
['многое', 2]
['благовествовал', 2]
['четвертовластник', 2]
['глаголющий', 2]
['возлюбленный', 2]
['матфатов', 2]
['левиин', 2]
['мелхиев', 2]
['маттафиев', 2]
['каинанов', 2]
['пустыню', 2]
['взалкал', 2]
['вели', 2]
['жить', 2]
['возведя', 2]
['дам', 2]
['хочу', 2]
['служи', 2]
['ангелам', 2]
['молва', 2]
['обыкновению', 2]
['подали', 2]
['помазал', 2]
['благовествовать', 2]
['исцелять', 2]
['слепым', 2]
['отпустить', 2]
['лето', 2]
['закрыв', 2]
['писание', 2]
['конечно', 2]
['скажете', 2]
['сделай', 2]
['отечестве', 2]
['вдов', 2]
['шесть', 2]
['прокаженных', 2]
['выгнали', 2]
['удалился', 2]
['имевший', 2]
['бесовского', 2]
['закричал', 2]
['оставь', 2]
['повелевает', 2]
['симонова', 2]
['оставила', 2]
['встала', 2]
['каждого', 2]
['исцелял', 2]
['выходили', 2]
['уходил', 2]
['другим', 2]
['проповедывал', 2]
['стоял', 2]
['озера', 2]
['стоящие', 2]
['озере', 2]
['сети', 2]
['перестал', 2]
['учить', 2]
['лова', 2]
['поймали', 2]
['сеть', 2]
['обе', 2]
['рыб', 2]
['берег', 2]
['оставили', 2]
['ниц', 2]
['пришедшие', 2]
['мест', 2]
['иудеи', 2]
['пронести', 2]
['средину', 2]
['прощать', 2]
['уразумев', 2]
['лежал', 2]
['славили', 2]
['страха', 2]
['большое', 2]
['роптали', 2]
['нужду', 2]
['призвать', 2]
['покаянию', 2]
['поститься', 2]
['жених', 2]
['новой', 2]
['молодое', 2]
['само', 2]
['старое', 2]
['проходить', 2]
['субботы', 2]
['одних', 2]
['другую', 2]
['наблюдали', 2]
['зло', 2]
['спасти', 2]
['молчали', 2]
['стала', 2]
['другая', 2]
['взошел', 2]
['избрал', 2]
['назвал', 2]
['послушать', 2]
['нищие', 2]
['награда', 2]
['благотворите', 2]
['любящих', 2]
['делаете', 2]
['даете', 2]
['грешникам', 2]
['столько', 2]
['великая', 2]
['сынами', 2]
['судите', 2]
['осуждены', 2]
['дастся', 2]
['мерою', 2]
['лоно', 2]
['какою', 2]
['слепой', 2]
['выше', 2]
['учителя', 2]
['смотришь', 2]
['бревна', 2]
['видишь', 2]
['лицемер', 2]
['дерева', 2]
['приносило', 2]
