['жену', 6]
['ай', 6]
['зеркало', 6]
['дорогу', 6]
['понимает', 6]
['одни', 6]
['делают', 6]
['сударь', 6]
['образуется', 6]
['из-за', 6]
['стороне', 6]
['бог', 6]
['смотреть', 6]
['часы', 6]
['ждал', 6]
['дела', 6]
['сами', 6]
['мысли', 6]
['оно', 6]
['понять', 6]
['назад', 6]
['встала', 6]
['знать', 6]
['хоть', 6]
['скорее', 6]
['внимательно', 6]
['своими', 6]
['куда', 6]
['ради', 6]
['бога', 6]
['уйти', 6]
['нам', 6]
['мной', 6]
['рублей', 6]
['довольно', 6]
['братом', 6]
['стали', 6]
['равно', 6]
['тогда', 6]
['лестницы', 6]
['стоял', 6]
['одному', 6]
['мои', 6]
['холодно', 6]
['всей', 6]
['рассказывать', 6]
['понимаешь', 6]
['чего-то', 6]
['прекрасно', 6]
['отношениях', 6]
['выражения', 6]
['права', 6]
['хочется', 6]
['вечера', 6]
['счастья', 6]
['слышать', 6]
['славный', 6]
['любишь', 6]
['сиятельство', 6]
['верить', 6]
['буду', 6]
['вронским', 6]
['maman', 6]
['взглянув', 6]
['ждала', 6]
['приехала', 6]
['вальса', 6]
['кадрили', 6]
['положение', 5]
['члены', 5]
['выходила', 5]
['кабинете', 5]
['стороны', 5]
['ими', 5]
['вставая', 5]
['подробности', 5]
['виноват', 5]
['та', 5]
['руке', 5]
['гостиной', 5]
['считал', 5]
['случилось', 5]
['комнаты', 5]
['той', 5]
['телеграмму', 5]
['присутствия', 5]
['посмотрел', 5]
['сестра', 5]
['аркадьевна', 5]
['слава', 5]
['дарья', 5]
['александровна', 5]
['платья', 5]
['решительно', 5]
['примирения', 5]
['мысль', 5]
['газету', 5]
['твердо', 5]
['те', 5]
['деятельности', 5]
['партия', 5]
['удовольствия', 5]
['степану', 5]
['аркадьичу', 5]
['другую', 5]
['голоса', 5]
['дочери', 5]
['удерживая', 5]
['две', 5]
['свидания', 5]
['уедет', 5]
['мужем', 5]
['оглянулась', 5]
['приедет', 5]
['уйдите', 5]
['прости', 5]
['села', 5]
['ними', 5]
['помню', 5]
['мире', 5]
['слезы', 5]
['слово', 5]
['присутствие', 5]
['другое', 5]
['виде', 5]
['облонскому', 5]
['такого', 5]
['которою', 5]
['пожал', 5]
['никто', 5]
['ту', 5]
['залы', 5]
['гриневич', 5]
['сильно', 5]
['наверх', 5]
['почувствовал', 5]
['облонским', 5]
['первой', 5]
['блестящими', 5]
['сергея', 5]
['скоро', 5]
['вглядываясь', 5]
['скажи', 5]
['руками', 5]
['твое', 5]
['такой', 5]
['такие', 5]
['туда', 5]
['деревню', 5]
['твоей', 5]
['старые', 5]
['начале', 5]
['зимы', 5]
['существо', 5]
['другие', 5]
['малый', 5]
['общества', 5]
['тою', 5]
['речь', 5]
['самого', 5]
['оскорбить', 5]
['поеду', 5]
['чувствую', 5]
['иначе', 5]
['солнце', 5]
['коньки', 5]
['представить', 5]
['мир', 5]
['вами', 5]
['видели', 5]
['стала', 5]
['спокойный', 5]
['знаете', 5]
['тюрбо', 5]
['душа', 5]
['прикажете', 5]
['бокал', 5]
['тобой', 5]
['спуская', 5]
['девушка', 5]
['знает', 5]
['говоря', 5]
['плечо', 5]
['залу', 5]
['зиму', 5]
['сына', 5]
['нынешний', 5]
['отказала', 5]
['заметила', 5]
['вошла', 5]
['графиней', 5]
['перебила', 5]
['поцеловала', 5]
['подошла', 5]
['гриша', 5]
['лиловом', 5]
['вальс', 5]
['танцевать', 5]
['pardon', 5]
['облонских', 4]
['муж', 4]
['новое', 4]
['ссоры', 4]
['спальне', 4]
['столы', 4]
['заблестели', 4]
['света', 4]
['халат', 4]
['женою', 4]
['драма', 4]
['перед', 4]
['боли', 4]
['свойственною', 4]
['пор', 4]
['отношении', 4]
['нехорошо', 4]
['живо', 4]
['m-lle', 4]
['пока', 4]
['вопросы', 4]
['поднял', 4]
['вслед', 4]
['бумаги', 4]
['садясь', 4]
['барина', 4]
['немного', 4]
['просияло', 4]
['завтра', 4]
['длинными', 4]
['приезда', 4]
['наверху', 4]
['повторил', 4]
['возьми', 4]
['слушаю-с', 4]
['медленно', 4]
['пускай', 4]
['строгое', 4]
['покраснев', 4]
['давай', 4]
['платок', 4]
['кофе', 4]
['большинство', 4]
['собственно', 4]
['иметь', 4]
['шляпу', 4]
['ближе', 4]
['дурно', 4]
['шутку', 4]
['приятно', 4]
['сигару', 4]
['наше', 4]
['напротив', 4]
['граф', 4]
['радостно', 4]
['хорошее', 4]
['обняла', 4]
['отец', 4]
['матерью', 4]
['идти', 4]
['дал', 4]
['шею', 4]
['дать', 4]
['забыть', 4]
['ходить', 4]
['когда-нибудь', 4]
['остаться', 4]
['раза', 4]
['лицом', 4]
['стояла', 4]
['остановилась', 4]
['вещи', 4]
['предпринять', 4]
['уехать', 4]
['отыскивая', 4]
['голосом', 4]
['болью', 4]
['жене', 4]
['пить', 4]
['продолжать', 4]
['взглянула', 4]
['могут', 4]
['ожидая', 4]
['начать', 4]
['поэтому', 4]
['ниже', 4]
['ребенка', 4]
['подавая', 4]
['чрез', 4]
['приятели', 4]
['делал', 4]
['места', 4]
['черных', 4]
['москве', 4]
['имел', 4]
['людям', 4]
['кланяясь', 4]
['занятия', 4]
['присутствии', 4]
['степаном', 4]
['аркадьичем', 4]
['видом', 4]
['должны', 4]
['большие', 4]
['деле', 4]
['гриневича', 4]
['какой-то', 4]
['приятеля', 4]
['пойдем', 4]
['шампанское', 4]
['называл', 4]
['молодости', 4]
['приезжал', 4]
['этою', 4]
['рад', 4]
['такими', 4]
['большое', 4]
['никакой', 4]
['новой', 4]
['новая', 4]
['обедать', 4]
['особенного', 4]
['извини', 4]
['пожимая', 4]
['нечего', 4]
['видишь', 4]
['собою', 4]
['помнил', 4]
['linon', 4]
['ножки', 4]
['делалось', 4]
['влюбиться', 4]
['свет', 4]
['щербацкий', 4]
['решил', 4]
['новою', 4]
['испытывал', 4]
['последнее', 4]
['бытия', 4]
['ивановича', 4]
['слушал', 4]
['способность', 4]
['волнение', 4]
['оставить', 4]
['душой', 4]
['повторял', 4]
['советую', 4]
['решить', 4]
['ею', 4]
['улыбалась', 4]
['особенную', 4]
['посмотрела', 4]
['давайте', 4]
